sepal length,petal length,petal width
0.20000000000000065,1.5,0.2
0.4666666666666668,1.2,0.2
0.4000000000000004,1.5,0.4
0.20000000000000065,1.3,0.4
0.0,1.4,0.3
0.4000000000000004,1.7,0.3
0.0,1.5,0.3
0.20000000000000065,1.7,0.2
0.0,1.5,0.4
0.0,1.7,0.5
0.06666666666666733,1.5,0.2
0.06666666666666733,1.4,0.2
0.20000000000000065,1.5,0.4
0.06666666666666733,1.5,0.1
0.26666666666666705,1.4,0.2
0.26666666666666705,1.3,0.2
0.0,1.5,0.2
0.0,1.9,0.4
0.0,1.6,0.2
0.13333333333333375,1.5,0.2
0.5333333333333341,4.2,1.5
0.6000000000000005,4.0,1.0
0.666666666666667,4.7,1.4
0.3333333333333335,3.6,1.3
0.3333333333333335,4.5,1.5
0.4666666666666668,4.1,1.0
0.7333333333333334,4.5,1.5
0.3333333333333335,3.9,1.1
0.5333333333333341,4.8,1.8
0.666666666666667,4.0,1.3
0.7999999999999998,4.9,1.5
0.666666666666667,4.7,1.2
0.8666666666666671,4.3,1.3
1.0,4.4,1.4
0.6000000000000005,4.5,1.5
0.4000000000000004,3.5,1.0
0.26666666666666705,3.8,1.1
0.26666666666666705,3.7,1.0
0.4666666666666668,3.9,1.2
0.6000000000000005,5.1,1.6
0.20000000000000065,4.5,1.5
0.6000000000000005,4.5,1.6
0.7999999999999998,4.4,1.3
0.3333333333333335,4.1,1.3
0.26666666666666705,4.0,1.3
0.26666666666666705,4.4,1.2
0.666666666666667,4.6,1.4
0.4666666666666668,4.0,1.2
0.3333333333333335,4.2,1.3
0.4000000000000004,4.2,1.2
0.4000000000000004,4.2,1.3
0.7333333333333334,4.3,1.3
0.0,3.0,1.1
0.4000000000000004,4.1,1.3
0.8666666666666671,5.3,1.9
0.4000000000000004,5.0,2.0
0.4666666666666668,5.1,2.4
0.8666666666666671,5.3,2.3
0.9333333333333336,5.5,1.8
0.6000000000000005,5.0,1.5
0.3333333333333335,4.9,2.0
0.7999999999999998,4.9,1.8
0.7333333333333334,4.8,1.8
0.666666666666667,4.9,1.8
0.8666666666666671,5.6,2.1
0.8666666666666671,5.6,2.2
0.7999999999999998,5.1,1.5
0.666666666666667,5.6,1.4
0.7999999999999998,5.6,2.4
0.8666666666666671,5.5,1.8
0.6000000000000005,4.8,1.8
0.4666666666666668,5.1,1.9
0.7999999999999998,5.0,1.9
0.9333333333333336,5.2,2.0
0.7333333333333334,5.4,2.3
0.5333333333333341,5.1,1.8
